"Time","ОВДП"
"2021-02-01",23
"2021-03-01",18
"2021-04-01",18
"2021-05-01",20
"2021-06-01",28
"2021-07-01",18
"2021-08-01",17
"2021-09-01",22
"2021-10-01",19
"2021-11-01",25
"2021-12-01",21
"2022-01-01",34
"2022-02-01",29
"2022-03-01",33
"2022-04-01",30
"2022-05-01",30
"2022-06-01",31
"2022-07-01",22
"2022-08-01",21
"2022-09-01",21
"2022-10-01",23
"2022-11-01",21
"2022-12-01",21
"2023-01-01",21
"2023-02-01",22
"2023-03-01",33
"2023-04-01",36
"2023-05-01",29
"2023-06-01",33
"2023-07-01",44
"2023-08-01",36
"2023-09-01",34
"2023-10-01",36
"2023-11-01",35
"2023-12-01",35
"2024-01-01",51
"2024-02-01",44
"2024-03-01",46
"2024-04-01",54
"2024-05-01",45
"2024-06-01",42
"2024-07-01",38
"2024-08-01",38
"2024-09-01",45
"2024-10-01",49
"2024-11-01",62
"2024-12-01",55
"2025-01-01",68
"2025-02-01",55
"2025-03-01",75
"2025-04-01",89
"2025-05-01",66
"2025-06-01",70
"2025-07-01",69
"2025-08-01",80
"2025-09-01",72
"2025-10-01",89
"2025-11-01",92
"2025-12-01",82
"2026-01-01",98
"2026-02-01",100
